# symbols.txt - Unicode Symbols Database
# Format: CHAR ; CODEPOINT ; CATEGORY ; SUBCATEGORY ; HE_LABEL ; HE_DESC ; EN_LABEL ; EN_DESC
# Each symbol has unique searchable labels in Hebrew and English
# ═══════════════════════════════════════════════════════════════════════════════════════════

# group: hebrew-punctuation
# subgroup: marks
₪     ; 20AA  ; currency     ; shekel       ; שקל חדש            ; סימן המטבע הישראלי           ; New Shekel         ; Israeli currency symbol
# subgroup: keyboard
⌘     ; 2318  ; symbol       ; keyboard     ; פקודה מק           ; מקש Command במק              ; Command Key        ; Mac command key
⌥     ; 2325  ; symbol       ; keyboard     ; אופציה מק          ; מקש Option במק               ; Option Key         ; Mac option key
⇧     ; 21E7  ; symbol       ; keyboard     ; שיפט               ; מקש Shift                    ; Shift Key          ; Shift key symbol
⌃     ; 2303  ; symbol       ; keyboard     ; קונטרול            ; מקש Control                  ; Control Key        ; Control key symbol
⎋     ; 238B  ; symbol       ; keyboard     ; אסקייפ             ; מקש Escape                   ; Escape Key         ; Escape key symbol
⏎     ; 23CE  ; symbol       ; keyboard     ; אנטר               ; מקש Enter חזרה               ; Return Key         ; Return enter key
⌫     ; 232B  ; symbol       ; keyboard     ; מחיקה אחורה        ; מקש Backspace                ; Backspace          ; Delete backward key
⌦     ; 2326  ; symbol       ; keyboard     ; מחיקה קדימה        ; מקש Delete                   ; Delete Forward     ; Delete forward key
⇥     ; 21E5  ; symbol       ; keyboard     ; טאב ימינה          ; מקש Tab                      ; Tab Right          ; Tab key right
⇤     ; 21E4  ; symbol       ; keyboard     ; טאב שמאלה          ; מקש Backtab                  ; Tab Left           ; Tab key left
␣     ; 2423  ; symbol       ; keyboard     ; רווח               ; מקש רווח                     ; Space Key          ; Space bar symbol

# group: currency
# subgroup: common
$     ; 0024  ; currency     ; dollar       ; דולר               ; דולר אמריקאי USD             ; Dollar             ; US Dollar sign
¢     ; 00A2  ; currency     ; cent         ; סנט                ; סנט אמריקאי                  ; Cent               ; Cent sign
£     ; 00A3  ; currency     ; pound        ; לירה               ; לירה שטרלינג GBP             ; Pound              ; British Pound Sterling
¥     ; 00A5  ; currency     ; yen          ; יין                ; יין יפני JPY                 ; Yen                ; Japanese Yen sign
€     ; 20AC  ; currency     ; euro         ; אירו               ; אירו אירופאי EUR             ; Euro               ; Euro sign
₪     ; 20AA  ; currency     ; shekel       ; שקל ישראלי         ; מטבע שקל חדש ILS             ; ILS Shekel         ; Israeli New Shekel currency
₹     ; 20B9  ; currency     ; rupee        ; רופי               ; רופי הודי INR                ; Rupee              ; Indian Rupee sign
₽     ; 20BD  ; currency     ; ruble        ; רובל               ; רובל רוסי RUB                ; Ruble              ; Russian Ruble sign
₿     ; 20BF  ; currency     ; bitcoin      ; ביטקוין            ; מטבע דיגיטלי BTC             ; Bitcoin            ; Bitcoin cryptocurrency
₴     ; 20B4  ; currency     ; hryvnia      ; הריבניה            ; הריבניה אוקראינית UAH        ; Hryvnia            ; Ukrainian Hryvnia
₩     ; 20A9  ; currency     ; won          ; וון                ; וון קוריאני KRW              ; Won                ; South Korean Won
฿     ; 0E3F  ; currency     ; baht         ; באהט               ; באהט תאילנדי THB             ; Baht               ; Thai Baht sign
₱     ; 20B1  ; currency     ; peso         ; פסו                ; פסו פיליפיני PHP             ; Peso               ; Philippine Peso sign
₺     ; 20BA  ; currency     ; lira         ; לירה טורקית        ; לירה טורקית TRY              ; Turkish Lira       ; Turkish Lira sign

# group: zodiac
# subgroup: signs
♈     ; 2648  ; zodiac       ; sign         ; טלה                ; מזל טלה מרץ-אפריל            ; Aries              ; Zodiac Aries ram
♉     ; 2649  ; zodiac       ; sign         ; שור                ; מזל שור אפריל-מאי            ; Taurus             ; Zodiac Taurus bull
♊     ; 264A  ; zodiac       ; sign         ; תאומים             ; מזל תאומים מאי-יוני          ; Gemini             ; Zodiac Gemini twins
♋     ; 264B  ; zodiac       ; sign         ; סרטן               ; מזל סרטן יוני-יולי           ; Cancer             ; Zodiac Cancer crab
♌     ; 264C  ; zodiac       ; sign         ; אריה               ; מזל אריה יולי-אוגוסט         ; Leo                ; Zodiac Leo lion
♍     ; 264D  ; zodiac       ; sign         ; בתולה              ; מזל בתולה אוגוסט-ספט         ; Virgo              ; Zodiac Virgo maiden
♎     ; 264E  ; zodiac       ; sign         ; מאזניים            ; מזל מאזניים ספט-אוקט         ; Libra              ; Zodiac Libra scales
♏     ; 264F  ; zodiac       ; sign         ; עקרב               ; מזל עקרב אוקט-נוב            ; Scorpio            ; Zodiac Scorpio scorpion
♐     ; 2650  ; zodiac       ; sign         ; קשת                ; מזל קשת נוב-דצמ              ; Sagittarius        ; Zodiac Sagittarius archer
♑     ; 2651  ; zodiac       ; sign         ; גדי                ; מזל גדי דצמ-ינואר            ; Capricorn          ; Zodiac Capricorn goat
♒     ; 2652  ; zodiac       ; sign         ; דלי                ; מזל דלי ינואר-פבר            ; Aquarius           ; Zodiac Aquarius water
♓     ; 2653  ; zodiac       ; sign         ; דגים               ; מזל דגים פבר-מרץ             ; Pisces             ; Zodiac Pisces fish

# group: planets
# subgroup: celestial
☉     ; 2609  ; planet       ; star         ; שמש כוכב           ; השמש כוכב מרכזי              ; Sun Astro          ; Astronomical sun symbol
☽     ; 263D  ; planet       ; moon         ; ירח חרמש           ; ירח ראשון חרמש               ; First Quarter      ; First quarter moon
☾     ; 263E  ; planet       ; moon         ; ירח אחרון          ; ירח אחרון חרמש               ; Last Quarter       ; Last quarter moon
☿     ; 263F  ; planet       ; inner        ; כוכב חמה           ; מרקורי כוכב פנימי            ; Mercury            ; Planet Mercury symbol
♀     ; 2640  ; planet       ; inner        ; נוגה ונוס          ; ונוס נקבה אהבה               ; Venus Female       ; Venus female symbol
♁     ; 2641  ; planet       ; home         ; כדור הארץ          ; כדור הארץ הבית               ; Earth              ; Earth planet symbol
♂     ; 2642  ; planet       ; inner        ; מאדים מארס         ; מארס זכר מלחמה               ; Mars Male          ; Mars male symbol
♃     ; 2643  ; planet       ; outer        ; צדק יופיטר         ; יופיטר כוכב גדול             ; Jupiter            ; Planet Jupiter symbol
♄     ; 2644  ; planet       ; outer        ; שבתאי סטורן        ; סטורן כוכב הטבעות            ; Saturn             ; Planet Saturn symbol
♅     ; 2645  ; planet       ; outer        ; אורנוס             ; אורנוס כוכב קרח              ; Uranus             ; Planet Uranus symbol
♆     ; 2646  ; planet       ; outer        ; נפטון              ; נפטון כוכב כחול              ; Neptune            ; Planet Neptune symbol
♇     ; 2647  ; planet       ; dwarf        ; פלוטו              ; פלוטו כוכב ננס               ; Pluto              ; Dwarf planet Pluto

# group: chess
# subgroup: white-pieces
♔     ; 2654  ; chess        ; white        ; מלך לבן            ; מלך שחמט לבן                 ; White K kinging    ; Chess white king
♕     ; 2655  ; chess        ; white        ; מלכה לבנה          ; מלכה שחמט לבנה               ; White Q queenueen  ; Chess white queen
♖     ; 2656  ; chess        ; white        ; צריח לבן           ; צריח שחמט לבן                ; White Rook         ; Chess white rook castle
♗     ; 2657  ; chess        ; white        ; רץ לבן             ; רץ שחמט לבן                  ; White Bishop       ; Chess white bishop
♘     ; 2658  ; chess        ; white        ; פרש לבן            ; פרש שחמט לבן סוס             ; White K kingnight  ; Chess white knight horse
♙     ; 2659  ; chess        ; white        ; רגלי לבן           ; רגלי שחמט לבן                ; White Pawn         ; Chess white pawn

# subgroup: black-pieces
♚     ; 265A  ; chess        ; black        ; מלך שחור           ; מלך שחמט שחור                ; Black K kinging    ; Chess black king
♛     ; 265B  ; chess        ; black        ; מלכה שחורה         ; מלכה שחמט שחורה              ; Black Q queenueen  ; Chess black queen
♜     ; 265C  ; chess        ; black        ; צריח שחור          ; צריח שחמט שחור               ; Black Rook         ; Chess black rook castle
♝     ; 265D  ; chess        ; black        ; רץ שחור            ; רץ שחמט שחור                 ; Black Bishop       ; Chess black bishop
♞     ; 265E  ; chess        ; black        ; פרש שחור           ; פרש שחמט שחור סוס            ; Black K kingnight  ; Chess black knight horse
♟     ; 265F  ; chess        ; black        ; רגלי שחור          ; רגלי שחמט שחור               ; Black Pawn         ; Chess black pawn

# group: dice
# subgroup: faces
⚀     ; 2680  ; dice         ; face         ; קוביה 1 אחת        ; פאת קוביה מספר 1 אחת         ; Die Face 1 one     ; Dice showing number 1 one
⚁     ; 2681  ; dice         ; face         ; קוביה 2 שתיים      ; פאת קוביה מספר 2 שתיים       ; Die Face 2 two     ; Dice showing number 2 two
⚂     ; 2682  ; dice         ; face         ; קוביה 3 שלוש       ; פאת קוביה מספר 3 שלוש        ; Die Face 3 three   ; Dice showing number 3 three
⚃     ; 2683  ; dice         ; face         ; קוביה 4 ארבע       ; פאת קוביה מספר 4 ארבע        ; Die Face 4 four    ; Dice showing number 4 four
⚄     ; 2684  ; dice         ; face         ; קוביה 5 חמש        ; פאת קוביה מספר 5 חמש         ; Die Face 5 five    ; Dice showing number 5 five
⚅     ; 2685  ; dice         ; face         ; קוביה 6 שש         ; פאת קוביה מספר 6 שש          ; Die Face 6 six     ; Dice showing number 6 six

# group: domino
# subgroup: horizontal
🁣     ; 1F063 ; domino       ; horizontal   ; דומינו 0 אפס-0 אפס ; אבן דומינו ריק ריק           ; Domino 0 zero-0 zero ; Domino tile blank blank
🁤     ; 1F064 ; domino       ; horizontal   ; דומינו 0 אפס-1 אחת ; אבן דומינו ריק 1 אחת         ; Domino 0 zero-1 one ; Domino tile blank one
🁥     ; 1F065 ; domino       ; horizontal   ; דומינו 0 אפס-2 שתיים ; אבן דומינו ריק 2 שתיים       ; Domino 0 zero-2 two ; Domino tile blank two
🁦     ; 1F066 ; domino       ; horizontal   ; דומינו 0 אפס-3 שלוש ; אבן דומינו ריק 3 שלוש        ; Domino 0 zero-3 three ; Domino tile blank three
🁧     ; 1F067 ; domino       ; horizontal   ; דומינו 0 אפס-4 ארבע ; אבן דומינו ריק 4 ארבע        ; Domino 0 zero-4 four ; Domino tile blank four
🁨     ; 1F068 ; domino       ; horizontal   ; דומינו 0 אפס-5 חמש ; אבן דומינו ריק 5 חמש         ; Domino 0 zero-5 five ; Domino tile blank five
🁩     ; 1F069 ; domino       ; horizontal   ; דומינו 0 אפס-6 שש  ; אבן דומינו ריק 6 שש          ; Domino 0 zero-6 six ; Domino tile blank six
🁪     ; 1F06A ; domino       ; horizontal   ; דומינו 1 אחת-1 אחת ; אבן דומינו 1 אחת 1 אחת       ; Domino 1 one-1 one ; Domino tile one one
🁫     ; 1F06B ; domino       ; horizontal   ; דומינו 1 אחת-2 שתיים ; אבן דומינו 1 אחת 2 שתיים     ; Domino 1 one-2 two ; Domino tile one two
🁬     ; 1F06C ; domino       ; horizontal   ; דומינו 1 אחת-3 שלוש ; אבן דומינו 1 אחת 3 שלוש      ; Domino 1 one-3 three ; Domino tile one three
🁭     ; 1F06D ; domino       ; horizontal   ; דומינו 1 אחת-4 ארבע ; אבן דומינו 1 אחת 4 ארבע      ; Domino 1 one-4 four ; Domino tile one four
🁮     ; 1F06E ; domino       ; horizontal   ; דומינו 1 אחת-5 חמש ; אבן דומינו 1 אחת 5 חמש       ; Domino 1 one-5 five ; Domino tile one five
🁯     ; 1F06F ; domino       ; horizontal   ; דומינו 1 אחת-6 שש  ; אבן דומינו 1 אחת 6 שש        ; Domino 1 one-6 six ; Domino tile one six
🁰     ; 1F070 ; domino       ; horizontal   ; דומינו 2 שתיים-2 שתיים ; אבן דומינו 2 שתיים 2 שתיים   ; Domino 2 two-2 two ; Domino tile two two
🁱     ; 1F071 ; domino       ; horizontal   ; דומינו 2 שתיים-3 שלוש ; אבן דומינו 2 שתיים 3 שלוש    ; Domino 2 two-3 three ; Domino tile two three
🁲     ; 1F072 ; domino       ; horizontal   ; דומינו 2 שתיים-4 ארבע ; אבן דומינו 2 שתיים 4 ארבע    ; Domino 2 two-4 four ; Domino tile two four
🁳     ; 1F073 ; domino       ; horizontal   ; דומינו 2 שתיים-5 חמש ; אבן דומינו 2 שתיים 5 חמש     ; Domino 2 two-5 five ; Domino tile two five
🁴     ; 1F074 ; domino       ; horizontal   ; דומינו 2 שתיים-6 שש ; אבן דומינו 2 שתיים 6 שש      ; Domino 2 two-6 six ; Domino tile two six
🁵     ; 1F075 ; domino       ; horizontal   ; דומינו 3 שלוש-3 שלוש ; אבן דומינו 3 שלוש 3 שלוש     ; Domino 3 three-3 three ; Domino tile three three
🁶     ; 1F076 ; domino       ; horizontal   ; דומינו 3 שלוש-4 ארבע ; אבן דומינו 3 שלוש 4 ארבע     ; Domino 3 three-4 four ; Domino tile three four
🁷     ; 1F077 ; domino       ; horizontal   ; דומינו 3 שלוש-5 חמש ; אבן דומינו 3 שלוש 5 חמש      ; Domino 3 three-5 five ; Domino tile three five
🁸     ; 1F078 ; domino       ; horizontal   ; דומינו 3 שלוש-6 שש ; אבן דומינו 3 שלוש 6 שש       ; Domino 3 three-6 six ; Domino tile three six
🁹     ; 1F079 ; domino       ; horizontal   ; דומינו 4 ארבע-4 ארבע ; אבן דומינו 4 ארבע 4 ארבע     ; Domino 4 four-4 four ; Domino tile four four
🁺     ; 1F07A ; domino       ; horizontal   ; דומינו 4 ארבע-5 חמש ; אבן דומינו 4 ארבע 5 חמש      ; Domino 4 four-5 five ; Domino tile four five
🁻     ; 1F07B ; domino       ; horizontal   ; דומינו 4 ארבע-6 שש ; אבן דומינו 4 ארבע 6 שש       ; Domino 4 four-6 six ; Domino tile four six
🁼     ; 1F07C ; domino       ; horizontal   ; דומינו 5 חמש-5 חמש ; אבן דומינו 5 חמש 5 חמש       ; Domino 5 five-5 five ; Domino tile five five
🁽     ; 1F07D ; domino       ; horizontal   ; דומינו 5 חמש-6 שש  ; אבן דומינו 5 חמש 6 שש        ; Domino 5 five-6 six ; Domino tile five six
🁾     ; 1F07E ; domino       ; horizontal   ; דומינו 6 שש-6 שש   ; אבן דומינו 6 שש 6 שש         ; Domino 6 six-6 six ; Domino tile six six

# group: playing-cards
# subgroup: spades
🂡     ; 1F0A1 ; card         ; spades       ; קלף עלה A אס       ; אס עלים 1 אחת                ; Card Spade A ace   ; Ace of Spades value 1 one
🂢     ; 1F0A2 ; card         ; spades       ; קלף עלה 2 שתיים    ; שתיים עלים                   ; Card Spade 2 two   ; Two of Spades
🂣     ; 1F0A3 ; card         ; spades       ; קלף עלה 3 שלוש     ; שלוש עלים                    ; Card Spade 3 three ; Three of Spades
🂤     ; 1F0A4 ; card         ; spades       ; קלף עלה 4 ארבע     ; ארבע עלים                    ; Card Spade 4 four  ; Four of Spades
🂥     ; 1F0A5 ; card         ; spades       ; קלף עלה 5 חמש      ; חמש עלים                     ; Card Spade 5 five  ; Five of Spades
🂦     ; 1F0A6 ; card         ; spades       ; קלף עלה 6 שש       ; שש עלים                      ; Card Spade 6 six   ; Six of Spades
🂧     ; 1F0A7 ; card         ; spades       ; קלף עלה 7 שבע      ; שבע עלים                     ; Card Spade 7 seven ; Seven of Spades
🂨     ; 1F0A8 ; card         ; spades       ; קלף עלה 8 שמונה    ; שמונה עלים                   ; Card Spade 8 eight ; Eight of Spades
🂩     ; 1F0A9 ; card         ; spades       ; קלף עלה 9 תשע      ; תשע עלים                     ; Card Spade 9 nine  ; Nine of Spades
🂪    ; 1F0AA ; card         ; spades       ; קלף עלה 10 עשר     ; עשר עלים                     ; Card Spade 10 ten  ; Ten of Spades
🂫    ; 1F0AB ; card         ; spades       ; קלף עלה J נסיך     ; נסיך עלים 11 אחת-עשרה        ; Card Spade J jack  ; Jack of Spades value 11 eleven
🂭    ; 1F0AD ; card         ; spades       ; קלף עלה Q מלכה     ; מלכה עלים 12 שתים-עשרה       ; Card Spade Q queen ; Queen of Spades value 12 twelve
🂮    ; 1F0AE ; card         ; spades       ; קלף עלה K מלך      ; מלך עלים 13 שלוש-עשרה        ; Card Spade K king  ; King of Spades value 13 thirteen

# subgroup: hearts
🂱     ; 1F0B1 ; card         ; hearts       ; קלף לב A אס        ; אס לבבות 1 אחת               ; Card Heart A ace   ; Ace of Hearts value 1 one
🂲     ; 1F0B2 ; card         ; hearts       ; קלף לב 2 שתיים     ; שתיים לבבות                  ; Card Heart 2 two   ; Two of Hearts
🂳     ; 1F0B3 ; card         ; hearts       ; קלף לב 3 שלוש      ; שלוש לבבות                   ; Card Heart 3 three ; Three of Hearts
🂴     ; 1F0B4 ; card         ; hearts       ; קלף לב 4 ארבע      ; ארבע לבבות                   ; Card Heart 4 four  ; Four of Hearts
🂵     ; 1F0B5 ; card         ; hearts       ; קלף לב 5 חמש       ; חמש לבבות                    ; Card Heart 5 five  ; Five of Hearts
🂶     ; 1F0B6 ; card         ; hearts       ; קלף לב 6 שש        ; שש לבבות                     ; Card Heart 6 six   ; Six of Hearts
🂷     ; 1F0B7 ; card         ; hearts       ; קלף לב 7 שבע       ; שבע לבבות                    ; Card Heart 7 seven ; Seven of Hearts
🂸     ; 1F0B8 ; card         ; hearts       ; קלף לב 8 שמונה     ; שמונה לבבות                  ; Card Heart 8 eight ; Eight of Hearts
🂹     ; 1F0B9 ; card         ; hearts       ; קלף לב 9 תשע       ; תשע לבבות                    ; Card Heart 9 nine  ; Nine of Hearts
🂺    ; 1F0BA ; card         ; hearts       ; קלף לב 10 עשר      ; עשר לבבות                    ; Card Heart 10 ten  ; Ten of Hearts
🂻    ; 1F0BB ; card         ; hearts       ; קלף לב J נסיך      ; נסיך לבבות 11 אחת-עשרה       ; Card Heart J jack  ; Jack of Hearts value 11 eleven
🂽    ; 1F0BD ; card         ; hearts       ; קלף לב Q מלכה      ; מלכה לבבות 12 שתים-עשרה      ; Card Heart Q queen ; Queen of Hearts value 12 twelve
🂾    ; 1F0BE ; card         ; hearts       ; קלף לב K מלך       ; מלך לבבות 13 שלוש-עשרה       ; Card Heart K king  ; King of Hearts value 13 thirteen

# subgroup: diamonds
🃁     ; 1F0C1 ; card         ; diamonds     ; קלף יהלום A אס     ; אס יהלומים 1 אחת             ; Card Diamond A ace ; Ace of Diamonds value 1 one
🃂     ; 1F0C2 ; card         ; diamonds     ; קלף יהלום 2 שתיים  ; שתיים יהלומים                ; Card Diamond 2 two ; Two of Diamonds
🃃     ; 1F0C3 ; card         ; diamonds     ; קלף יהלום 3 שלוש   ; שלוש יהלומים                 ; Card Diamond 3 three ; Three of Diamonds
🃄     ; 1F0C4 ; card         ; diamonds     ; קלף יהלום 4 ארבע   ; ארבע יהלומים                 ; Card Diamond 4 four ; Four of Diamonds
🃅     ; 1F0C5 ; card         ; diamonds     ; קלף יהלום 5 חמש    ; חמש יהלומים                  ; Card Diamond 5 five ; Five of Diamonds
🃆     ; 1F0C6 ; card         ; diamonds     ; קלף יהלום 6 שש     ; שש יהלומים                   ; Card Diamond 6 six ; Six of Diamonds
🃇     ; 1F0C7 ; card         ; diamonds     ; קלף יהלום 7 שבע    ; שבע יהלומים                  ; Card Diamond 7 seven ; Seven of Diamonds
🃈     ; 1F0C8 ; card         ; diamonds     ; קלף יהלום 8 שמונה  ; שמונה יהלומים                ; Card Diamond 8 eight ; Eight of Diamonds
🃉     ; 1F0C9 ; card         ; diamonds     ; קלף יהלום 9 תשע    ; תשע יהלומים                  ; Card Diamond 9 nine ; Nine of Diamonds
🃊    ; 1F0CA ; card         ; diamonds     ; קלף יהלום 10 עשר   ; עשר יהלומים                  ; Card Diamond 10 ten ; Ten of Diamonds
🃋    ; 1F0CB ; card         ; diamonds     ; קלף יהלום J נסיך   ; נסיך יהלומים 11 אחת-עשרה     ; Card Diamond J jack ; Jack of Diamonds value 11 eleven
🃍    ; 1F0CD ; card         ; diamonds     ; קלף יהלום Q מלכה   ; מלכה יהלומים 12 שתים-עשרה    ; Card Diamond Q queen ; Queen of Diamonds value 12 twelve
🃎    ; 1F0CE ; card         ; diamonds     ; קלף יהלום K מלך    ; מלך יהלומים 13 שלוש-עשרה     ; Card Diamond K king ; King of Diamonds value 13 thirteen

# subgroup: clubs
🃑     ; 1F0D1 ; card         ; clubs        ; קלף תלתן A אס      ; אס תלתנים 1 אחת              ; Card Club A ace    ; Ace of Clubs value 1 one
🃒     ; 1F0D2 ; card         ; clubs        ; קלף תלתן 2 שתיים   ; שתיים תלתנים                 ; Card Club 2 two    ; Two of Clubs
🃓     ; 1F0D3 ; card         ; clubs        ; קלף תלתן 3 שלוש    ; שלוש תלתנים                  ; Card Club 3 three  ; Three of Clubs
🃔     ; 1F0D4 ; card         ; clubs        ; קלף תלתן 4 ארבע    ; ארבע תלתנים                  ; Card Club 4 four   ; Four of Clubs
🃕     ; 1F0D5 ; card         ; clubs        ; קלף תלתן 5 חמש     ; חמש תלתנים                   ; Card Club 5 five   ; Five of Clubs
🃖     ; 1F0D6 ; card         ; clubs        ; קלף תלתן 6 שש      ; שש תלתנים                    ; Card Club 6 six    ; Six of Clubs
🃗     ; 1F0D7 ; card         ; clubs        ; קלף תלתן 7 שבע     ; שבע תלתנים                   ; Card Club 7 seven  ; Seven of Clubs
🃘     ; 1F0D8 ; card         ; clubs        ; קלף תלתן 8 שמונה   ; שמונה תלתנים                 ; Card Club 8 eight  ; Eight of Clubs
🃙     ; 1F0D9 ; card         ; clubs        ; קלף תלתן 9 תשע     ; תשע תלתנים                   ; Card Club 9 nine   ; Nine of Clubs
🃚    ; 1F0DA ; card         ; clubs        ; קלף תלתן 10 עשר    ; עשר תלתנים                   ; Card Club 10 ten   ; Ten of Clubs
🃛    ; 1F0DB ; card         ; clubs        ; קלף תלתן J נסיך    ; נסיך תלתנים 11 אחת-עשרה      ; Card Club J jack   ; Jack of Clubs value 11 eleven
🃝    ; 1F0DD ; card         ; clubs        ; קלף תלתן Q מלכה    ; מלכה תלתנים 12 שתים-עשרה     ; Card Club Q queen  ; Queen of Clubs value 12 twelve
🃞    ; 1F0DE ; card         ; clubs        ; קלף תלתן K מלך     ; מלך תלתנים 13 שלוש-עשרה      ; Card Club K king   ; King of Clubs value 13 thirteen

# subgroup: special-cards
🂠     ; 1F0A0 ; card         ; special      ; קלף הפוך           ; גב קלף                       ; Card Back          ; Playing card back
🃏     ; 1F0CF ; card         ; special      ; ג׳וקר              ; קלף ג׳וקר ליצן               ; Joker              ; Joker wild card

# group: numbers
# subgroup: circled
①     ; 2460  ; number       ; circled      ; עיגול 1 אחת        ; מספר 1 אחת בעיגול            ; Circled 1 one      ; Number 1 one in circle
②     ; 2461  ; number       ; circled      ; עיגול 2 שתיים      ; מספר 2 שתיים בעיגול          ; Circled 2 two      ; Number 2 two in circle
③     ; 2462  ; number       ; circled      ; עיגול 3 שלוש       ; מספר 3 שלוש בעיגול           ; Circled 3 three    ; Number 3 three in circle
④     ; 2463  ; number       ; circled      ; עיגול 4 ארבע       ; מספר 4 ארבע בעיגול           ; Circled 4 four     ; Number 4 four in circle
⑤     ; 2464  ; number       ; circled      ; עיגול 5 חמש        ; מספר 5 חמש בעיגול            ; Circled 5 five     ; Number 5 five in circle
⑥     ; 2465  ; number       ; circled      ; עיגול 6 שש         ; מספר 6 שש בעיגול             ; Circled 6 six      ; Number 6 six in circle
⑦     ; 2466  ; number       ; circled      ; עיגול 7 שבע        ; מספר 7 שבע בעיגול            ; Circled 7 seven    ; Number 7 seven in circle
⑧     ; 2467  ; number       ; circled      ; עיגול 8 שמונה      ; מספר 8 שמונה בעיגול          ; Circled 8 eight    ; Number 8 eight in circle
⑨     ; 2468  ; number       ; circled      ; עיגול 9 תשע        ; מספר 9 תשע בעיגול            ; Circled 9 nine     ; Number 9 nine in circle
⑩     ; 2469  ; number       ; circled      ; עיגול 10 עשר       ; מספר 10 עשר בעיגול           ; Circled 10 ten     ; Number 10 ten in circle

# subgroup: negative-circled
❶     ; 2776  ; number       ; neg-circled  ; שחור 1 אחת         ; מספר 1 אחת עיגול שחור        ; Neg Circle 1 one   ; Number 1 one black circle
❷     ; 2777  ; number       ; neg-circled  ; שחור 2 שתיים       ; מספר 2 שתיים עיגול שחור      ; Neg Circle 2 two   ; Number 2 two black circle
❸     ; 2778  ; number       ; neg-circled  ; שחור 3 שלוש        ; מספר 3 שלוש עיגול שחור       ; Neg Circle 3 three ; Number 3 three black circle
❹     ; 2779  ; number       ; neg-circled  ; שחור 4 ארבע        ; מספר 4 ארבע עיגול שחור       ; Neg Circle 4 four  ; Number 4 four black circle
❺     ; 277A  ; number       ; neg-circled  ; שחור 5 חמש         ; מספר 5 חמש עיגול שחור        ; Neg Circle 5 five  ; Number 5 five black circle
❻     ; 277B  ; number       ; neg-circled  ; שחור 6 שש          ; מספר 6 שש עיגול שחור         ; Neg Circle 6 six   ; Number 6 six black circle
❼     ; 277C  ; number       ; neg-circled  ; שחור 7 שבע         ; מספר 7 שבע עיגול שחור        ; Neg Circle 7 seven ; Number 7 seven black circle
❽     ; 277D  ; number       ; neg-circled  ; שחור 8 שמונה       ; מספר 8 שמונה עיגול שחור      ; Neg Circle 8 eight ; Number 8 eight black circle
❾     ; 277E  ; number       ; neg-circled  ; שחור 9 תשע         ; מספר 9 תשע עיגול שחור        ; Neg Circle 9 nine  ; Number 9 nine black circle
❿     ; 277F  ; number       ; neg-circled  ; שחור 10 עשר        ; מספר 10 עשר עיגול שחור       ; Neg Circle 10 ten  ; Number 10 ten black circle

# subgroup: superscript
⁰     ; 2070  ; number       ; superscript  ; חזקה 0 אפס         ; מספר 0 אפס עילי              ; Super 0 zero       ; Superscript number 0 zero
¹     ; 00B9  ; number       ; superscript  ; חזקה 1 אחת         ; מספר 1 אחת עילי              ; Super 1 one        ; Superscript number 1 one
²     ; 00B2  ; number       ; superscript  ; חזקה 2 שתיים       ; מספר 2 שתיים עילי ריבוע      ; Super 2 two        ; Superscript number 2 two squared
³     ; 00B3  ; number       ; superscript  ; חזקה 3 שלוש        ; מספר 3 שלוש עילי מעוקב       ; Super 3 three      ; Superscript number 3 three cubed
⁴     ; 2074  ; number       ; superscript  ; חזקה 4 ארבע        ; מספר 4 ארבע עילי             ; Super 4 four       ; Superscript number 4 four
⁵     ; 2075  ; number       ; superscript  ; חזקה 5 חמש         ; מספר 5 חמש עילי              ; Super 5 five       ; Superscript number 5 five
⁶     ; 2076  ; number       ; superscript  ; חזקה 6 שש          ; מספר 6 שש עילי               ; Super 6 six        ; Superscript number 6 six
⁷     ; 2077  ; number       ; superscript  ; חזקה 7 שבע         ; מספר 7 שבע עילי              ; Super 7 seven      ; Superscript number 7 seven
⁸     ; 2078  ; number       ; superscript  ; חזקה 8 שמונה       ; מספר 8 שמונה עילי            ; Super 8 eight      ; Superscript number 8 eight
⁹     ; 2079  ; number       ; superscript  ; חזקה 9 תשע         ; מספר 9 תשע עילי              ; Super 9 nine       ; Superscript number 9 nine

# subgroup: subscript
₀     ; 2080  ; number       ; subscript    ; תחתי 0 אפס         ; מספר 0 אפס תחתי              ; Sub 0 zero         ; Subscript number 0 zero
₁     ; 2081  ; number       ; subscript    ; תחתי 1 אחת         ; מספר 1 אחת תחתי              ; Sub 1 one          ; Subscript number 1 one
₂     ; 2082  ; number       ; subscript    ; תחתי 2 שתיים       ; מספר 2 שתיים תחתי            ; Sub 2 two          ; Subscript number 2 two
₃     ; 2083  ; number       ; subscript    ; תחתי 3 שלוש        ; מספר 3 שלוש תחתי             ; Sub 3 three        ; Subscript number 3 three
₄     ; 2084  ; number       ; subscript    ; תחתי 4 ארבע        ; מספר 4 ארבע תחתי             ; Sub 4 four         ; Subscript number 4 four
₅     ; 2085  ; number       ; subscript    ; תחתי 5 חמש         ; מספר 5 חמש תחתי              ; Sub 5 five         ; Subscript number 5 five
₆     ; 2086  ; number       ; subscript    ; תחתי 6 שש          ; מספר 6 שש תחתי               ; Sub 6 six          ; Subscript number 6 six
₇     ; 2087  ; number       ; subscript    ; תחתי 7 שבע         ; מספר 7 שבע תחתי              ; Sub 7 seven        ; Subscript number 7 seven
